,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kodiak,US,57.79,-152.41,47.71,76,1,9.22,clear sky
1,Lazaro Cardenas,MX,17.96,-102.2,85.46,64,74,4.07,broken clouds
2,Mweka,CD,-4.85,21.57,83.75,41,12,1.61,few clouds
3,Narsaq,GL,60.92,-46.05,53.82,65,31,8.97,scattered clouds
4,Carballo,ES,43.21,-8.69,88.59,61,0,12.88,clear sky
5,Tuktoyaktuk,CA,69.45,-133.04,44.6,76,40,10.36,scattered clouds
6,Galle,LK,6.04,80.22,80.62,85,80,13.02,broken clouds
7,Nurota,UZ,40.56,65.69,89.69,17,2,11.16,clear sky
8,Faya,SA,18.39,42.45,84.72,23,74,4.21,broken clouds
9,Alyangula,AU,-13.85,136.42,67.87,94,5,3.44,clear sky
10,Tarusa,RU,54.72,37.18,72.16,78,71,4.03,broken clouds
11,Los Andes,CL,-32.83,-70.6,65.97,14,0,4.0,clear sky
12,Rocha,UY,-34.48,-54.33,64.54,59,4,10.2,clear sky
13,Malangali,TZ,-8.57,34.85,61.02,70,0,12.71,clear sky
14,Severo-Kurilsk,RU,50.68,156.12,49.78,81,100,1.86,overcast clouds
15,Rikitea,PF,-23.12,-134.97,76.03,79,100,12.64,overcast clouds
16,Point Pleasant,US,40.08,-74.07,75.22,74,90,1.99,overcast clouds
17,Salamiyah,SY,35.01,37.05,76.35,32,0,21.09,clear sky
18,Nikolskoye,RU,59.7,30.79,71.49,70,77,6.58,broken clouds
19,Puerto Ayora,EC,-0.74,-90.35,80.56,95,92,8.99,overcast clouds
20,Fare,PF,-16.7,-151.02,79.16,78,76,13.73,light rain
21,Georgetown,MY,5.41,100.34,84.88,80,20,0.0,few clouds
22,Port Blair,IN,11.67,92.75,82.69,81,67,18.52,broken clouds
23,Kita,ML,13.03,-9.49,103.42,21,24,4.72,few clouds
24,Biak,ID,-0.91,122.88,75.45,88,56,0.56,broken clouds
25,Adrar,MR,20.5,-10.07,110.84,7,44,8.3,scattered clouds
26,Fountain,US,38.68,-104.7,84.43,41,1,3.44,clear sky
27,Ushuaia,AR,-54.8,-68.3,37.06,93,0,4.61,clear sky
28,New Norfolk,AU,-42.78,147.06,53.92,81,100,1.01,overcast clouds
29,Vestmannaeyjar,IS,63.44,-20.27,49.19,81,40,21.85,scattered clouds
30,Borgarnes,IS,64.54,-21.92,55.18,46,97,3.06,overcast clouds
31,Port Elizabeth,ZA,-33.92,25.57,66.49,82,0,8.05,clear sky
32,Cao Bang,VN,22.67,106.25,76.1,96,66,3.62,heavy intensity rain
33,Kysyl-Syr,RU,63.9,122.76,46.42,52,9,4.27,clear sky
34,Lebu,CL,-37.62,-73.65,59.41,83,94,5.32,overcast clouds
35,Sao Filipe,CV,14.9,-24.5,75.99,80,97,4.27,overcast clouds
36,Allapalli,IN,19.42,80.07,80.33,81,97,4.85,overcast clouds
37,San Rafael,AR,-34.62,-68.33,69.39,24,3,9.51,clear sky
38,Jais,IN,26.25,81.53,91.54,51,37,11.03,scattered clouds
39,Carnarvon,AU,-24.87,113.63,57.27,53,4,3.44,clear sky
40,Vaini,TO,-21.2,-175.2,71.76,78,20,10.36,few clouds
41,Fort Nelson,CA,58.81,-122.7,47.79,100,90,3.44,fog
42,Naze,JP,28.37,129.48,74.64,88,99,5.57,overcast clouds
43,Rumphi,MW,-11.02,33.86,60.73,81,39,3.62,scattered clouds
44,Paraiso,CR,9.84,-83.87,75.42,66,81,3.04,broken clouds
45,Faanui,PF,-16.48,-151.75,79.59,79,39,8.93,light rain
46,Waipawa,NZ,-41.41,175.52,56.03,89,100,8.37,overcast clouds
47,Penalva,BR,-3.29,-45.17,83.59,75,85,0.83,overcast clouds
48,Trincomalee,LK,8.57,81.23,82.42,75,43,21.83,scattered clouds
49,Hermanus,ZA,-34.42,19.23,63.9,74,31,3.6,scattered clouds
50,Esperance,AU,-33.87,121.9,55.24,72,54,6.64,broken clouds
51,Bethel,US,41.37,-73.41,66.56,81,90,5.75,overcast clouds
52,Saint-Philippe,RE,-21.36,55.77,72.95,74,60,13.96,broken clouds
53,Kapaa,US,22.08,-159.32,73.72,82,90,1.99,moderate rain
54,Upernavik,GL,72.79,-56.15,36.05,93,100,4.05,overcast clouds
55,Bengkulu,ID,-3.8,102.27,76.55,90,77,3.58,broken clouds
56,Pangnirtung,CA,66.15,-65.71,35.6,93,90,11.5,overcast clouds
57,Pisco,PE,-13.7,-76.22,64.45,77,90,9.22,overcast clouds
58,Grand Baie,MU,-20.02,57.58,75.67,67,88,8.01,overcast clouds
59,Cabo San Lucas,MX,22.89,-109.91,89.82,61,4,2.66,clear sky
60,Cururupu,BR,-1.83,-44.87,79.45,90,81,3.02,broken clouds
61,Korla,CN,41.76,86.15,69.57,51,15,15.05,few clouds
62,Hebi,CN,35.9,114.19,84.11,55,4,5.86,light rain
63,Vardo,NO,70.37,31.11,57.09,61,48,12.68,scattered clouds
64,Port Alfred,ZA,-33.59,26.89,65.82,71,100,7.05,overcast clouds
65,Anadyr,RU,64.75,177.48,36.1,100,75,2.24,fog mist
66,Novouzensk,RU,50.46,48.14,73.8,64,32,3.0,scattered clouds
67,Gamba,GA,-2.65,10.0,79.68,79,24,7.18,few clouds
68,Teguise,ES,29.06,-13.56,75.42,53,20,19.57,few clouds
69,Gari,RU,59.43,62.35,65.08,56,15,5.03,few clouds
70,Diebougou,BF,10.97,-3.25,94.5,36,69,7.16,broken clouds
71,Ulladulla,AU,-35.35,150.47,55.09,70,16,9.04,few clouds
72,Dikson,RU,73.51,80.55,30.45,88,52,3.24,broken clouds
73,Belaya Gora,RU,68.53,146.42,55.99,44,98,6.91,overcast clouds
74,Hobart,AU,-42.88,147.33,54.27,94,90,9.22,overcast clouds
75,Albany,US,42.6,-73.97,72.36,80,97,2.39,overcast clouds
76,Chuy,UY,-33.7,-53.46,61.99,60,43,9.64,scattered clouds
77,Ponta Delgada,PT,37.73,-25.67,72.32,73,40,8.05,scattered clouds
78,Norman Wells,CA,65.28,-126.83,51.84,93,90,10.36,moderate rain
79,Hilo,US,19.73,-155.09,70.79,91,90,4.61,light rain mist
80,Mbala,ZM,-8.84,31.37,65.05,57,17,5.01,few clouds
81,Kamenka,RU,51.32,42.77,67.19,81,45,8.3,scattered clouds
82,Torbay,CA,47.67,-52.73,59.77,47,40,16.11,scattered clouds
83,Hobyo,SO,5.35,48.53,78.71,79,100,27.51,overcast clouds
84,Butaritari,KI,3.07,172.79,82.29,77,48,9.48,light rain
85,Busselton,AU,-33.65,115.33,54.05,89,15,8.46,few clouds
86,Viedma,AR,-40.81,-63.0,68.23,41,68,14.54,broken clouds
87,Muros,ES,42.78,-9.06,89.69,40,0,2.8,clear sky
88,Qaanaaq,GL,77.48,-69.36,36.7,79,89,3.38,overcast clouds
89,Adre,TD,13.47,22.2,94.42,23,98,10.45,overcast clouds
90,Salinas,US,36.68,-121.66,69.21,64,1,8.05,clear sky
91,Saint-Georges,GD,12.06,-61.75,83.88,74,40,21.85,scattered clouds
92,Shahrud,IR,36.42,54.98,78.12,40,0,12.68,clear sky
93,Erenhot,CN,43.65,111.98,75.85,34,60,3.58,broken clouds
94,Maryville,US,35.76,-83.97,84.18,79,39,1.99,scattered clouds
95,Lerwick,GB,60.15,-1.15,53.6,78,22,17.09,few clouds
96,Baykit,RU,61.67,96.37,50.85,82,100,8.39,overcast clouds
97,Erzin,TR,36.96,36.2,81.12,77,33,9.28,scattered clouds
98,Bani,DO,18.28,-70.33,86.76,59,65,10.45,broken clouds
99,Mayna,RU,54.11,47.62,65.46,85,68,4.83,broken clouds
100,Atar,MR,20.52,-13.05,112.14,9,61,14.43,broken clouds
101,Mahebourg,MU,-20.41,57.7,75.49,69,75,13.8,broken clouds
102,Bredasdorp,ZA,-34.53,20.04,61.92,82,39,3.44,scattered clouds
103,Tiksi,RU,71.69,128.87,44.08,73,58,11.21,broken clouds
104,Hanzhong,CN,33.07,107.03,73.89,77,87,1.32,light rain
105,Khatanga,RU,71.97,102.5,38.71,78,100,10.87,overcast clouds
106,Yellowknife,CA,62.46,-114.35,46.92,100,90,12.66,fog
107,Bluff,NZ,-46.6,168.33,51.87,87,100,3.24,moderate rain
108,Maragogi,BR,-9.01,-35.22,80.74,62,10,8.16,clear sky
109,Longyearbyen,SJ,78.22,15.64,39.04,65,75,8.05,broken clouds
110,Half Moon Bay,US,37.46,-122.43,69.13,82,75,6.91,broken clouds
111,Arman,RU,59.7,150.17,46.33,65,4,4.43,clear sky
112,Luis Correia,BR,-2.88,-41.67,80.6,89,75,6.91,broken clouds
113,Barrow,US,71.29,-156.79,30.22,93,90,8.05,mist
114,Atuona,PF,-9.8,-139.03,78.51,69,20,15.32,few clouds
115,Sioux Lookout,CA,50.1,-91.92,66.58,72,75,12.66,broken clouds
116,Jamestown,US,42.1,-79.24,76.01,78,75,3.0,broken clouds
117,Vao,NC,-22.67,167.48,73.06,72,98,12.91,overcast clouds
118,Chokurdakh,RU,70.63,147.92,57.79,39,100,9.01,overcast clouds
